"","0.25","0.3","0.4","0.5","0.8","1"
"0.25",1119.19487740564,1119.14504206193,1119.14504206193,1119.14504206193,1044.96177007675,1029.39387625525
"0.3",1908.11805528303,1908.13505947827,1908.13505947827,1908.13505947827,1827.81295148896,1808.95007031771
"0.4",3460.52663194177,3460.77261468895,3460.77261468895,3460.77261468895,3385.98497203997,3365.86199114803
"0.5",4866.57951736642,4867.55605164516,4867.55605164516,4867.55605164516,4810.72678886697,4792.90814448043
"0.8",9323.00550502339,9328.85092769073,9328.85092769073,9328.85092769073,9475.33569297436,9472.92315791902
"1",14346.0239855167,14351.9316831856,14351.9316831856,14351.9316831856,14638.5932234025,14643.5943863242
