"edu","prevearn","n"
11,51545.4545454545,0
11,52181.8181818182,0
11,52818.1818181818,0
11,53454.5454545455,0
11,54090.9090909091,0
11,54727.2727272727,0
11,55363.6363636364,0
11,56000,0
11,56636.3636363636,0
11,57272.7272727273,0
11,57909.0909090909,0
11,58545.4545454545,0
11,59181.8181818182,0
11,59818.1818181818,0
11,60454.5454545455,0
11,61090.9090909091,0
11,61727.2727272727,0
11,62363.6363636364,0
11,63000,0
12,0,1285
12,636.363636363636,302
12,1272.72727272727,274
12,1909.09090909091,234
12,2545.45454545455,169
12,3181.81818181818,249
12,3818.18181818182,163
12,4454.54545454545,115
12,5090.90909090909,167
12,5727.27272727273,187
12,6363.63636363636,67
12,7000,99
12,7636.36363636364,60
12,8272.72727272727,97
12,8909.09090909091,89
12,9545.45454545455,36
12,10181.8181818182,86
12,10818.1818181818,40
12,11454.5454545455,14
12,12090.9090909091,42
12,12727.2727272727,24
12,13363.6363636364,7
12,14000,29
12,14636.3636363636,4
12,15272.7272727273,25
12,15909.0909090909,16
12,16545.4545454545,5
12,17181.8181818182,10
12,17818.1818181818,2
12,18454.5454545455,3
12,19090.9090909091,5
12,19727.2727272727,8
12,20363.6363636364,3
12,21000,3
12,21636.3636363636,0
12,22272.7272727273,5
12,22909.0909090909,1
12,23545.4545454545,1
12,24181.8181818182,2
12,24818.1818181818,0
12,25454.5454545455,1
12,26090.9090909091,2
12,26727.2727272727,0
12,27363.6363636364,0
12,28000,1
12,28636.3636363636,0
12,29272.7272727273,0
12,29909.0909090909,3
12,30545.4545454545,0
12,31181.8181818182,0
12,31818.1818181818,0
12,32454.5454545455,0
12,33090.9090909091,1
12,33727.2727272727,0
12,34363.6363636364,0
12,35000,1
12,35636.3636363636,0
12,36272.7272727273,1
12,36909.0909090909,1
12,37545.4545454545,0
12,38181.8181818182,0
12,38818.1818181818,0
12,39454.5454545455,0
12,40090.9090909091,0
12,40727.2727272727,0
12,41363.6363636364,0
12,42000,0
12,42636.3636363636,0
12,43272.7272727273,0
12,43909.0909090909,0
12,44545.4545454545,0
12,45181.8181818182,0
12,45818.1818181818,0
12,46454.5454545455,0
12,47090.9090909091,0
12,47727.2727272727,0
12,48363.6363636364,0
12,49000,0
12,49636.3636363636,0
12,50272.7272727273,0
12,50909.0909090909,0
12,51545.4545454545,0
12,52181.8181818182,0
12,52818.1818181818,0
12,53454.5454545455,0
12,54090.9090909091,0
12,54727.2727272727,0
12,55363.6363636364,0
12,56000,0
12,56636.3636363636,0
12,57272.7272727273,0
12,57909.0909090909,0
12,58545.4545454545,0
12,59181.8181818182,0
12,59818.1818181818,0
12,60454.5454545455,0
12,61090.9090909091,0
12,61727.2727272727,0
12,62363.6363636364,0
12,63000,1
13,0,169
13,636.363636363636,52
13,1272.72727272727,48
13,1909.09090909091,38
13,2545.45454545455,29
13,3181.81818181818,43
13,3818.18181818182,35
13,4454.54545454545,14
13,5090.90909090909,47
13,5727.27272727273,26
13,6363.63636363636,15
13,7000,26
13,7636.36363636364,12
13,8272.72727272727,23
13,8909.09090909091,12
13,9545.45454545455,5
13,10181.8181818182,14
13,10818.1818181818,5
13,11454.5454545455,4
13,12090.9090909091,8
13,12727.2727272727,8
13,13363.6363636364,1
13,14000,6
13,14636.3636363636,2
13,15272.7272727273,6
13,15909.0909090909,2
13,16545.4545454545,0
13,17181.8181818182,3
13,17818.1818181818,1
13,18454.5454545455,0
13,19090.9090909091,0
13,19727.2727272727,2
13,20363.6363636364,2
13,21000,0
13,21636.3636363636,0
13,22272.7272727273,0
13,22909.0909090909,0
13,23545.4545454545,0
13,24181.8181818182,0
13,24818.1818181818,1
13,25454.5454545455,0
13,26090.9090909091,0
13,26727.2727272727,0
13,27363.6363636364,0
13,28000,0
13,28636.3636363636,0
13,29272.7272727273,0
13,29909.0909090909,1
13,30545.4545454545,0
13,31181.8181818182,0
13,31818.1818181818,0
13,32454.5454545455,0
13,33090.9090909091,0
13,33727.2727272727,0
13,34363.6363636364,0
13,35000,0
13,35636.3636363636,0
13,36272.7272727273,0
13,36909.0909090909,0
13,37545.4545454545,0
13,38181.8181818182,0
13,38818.1818181818,0
13,39454.5454545455,0
13,40090.9090909091,0
13,40727.2727272727,0
13,41363.6363636364,0
13,42000,0
13,42636.3636363636,0
13,43272.7272727273,0
13,43909.0909090909,0
13,44545.4545454545,0
13,45181.8181818182,0
13,45818.1818181818,0
13,46454.5454545455,0
13,47090.9090909091,0
13,47727.2727272727,0
13,48363.6363636364,0
13,49000,0
13,49636.3636363636,0
13,50272.7272727273,0
13,50909.0909090909,0
13,51545.4545454545,0
13,52181.8181818182,0
13,52818.1818181818,0
13,53454.5454545455,0
13,54090.9090909091,0
13,54727.2727272727,0
13,55363.6363636364,0
13,56000,0
13,56636.3636363636,0
13,57272.7272727273,0
13,57909.0909090909,0
13,58545.4545454545,0
13,59181.8181818182,0
13,59818.1818181818,0
13,60454.5454545455,0
13,61090.9090909091,0
13,61727.2727272727,0
13,62363.6363636364,0
13,63000,0
14,0,174
14,636.363636363636,37
14,1272.72727272727,43
14,1909.09090909091,31
14,2545.45454545455,30
14,3181.81818181818,43
14,3818.18181818182,24
14,4454.54545454545,14
14,5090.90909090909,40
14,5727.27272727273,24
14,6363.63636363636,11
14,7000,25
14,7636.36363636364,6
14,8272.72727272727,15
14,8909.09090909091,14
14,9545.45454545455,6
14,10181.8181818182,21
14,10818.1818181818,5
14,11454.5454545455,2
14,12090.9090909091,8
14,12727.2727272727,4
14,13363.6363636364,0
14,14000,6
14,14636.3636363636,0
14,15272.7272727273,4
14,15909.0909090909,1
14,16545.4545454545,2
14,17181.8181818182,4
14,17818.1818181818,1
14,18454.5454545455,0
14,19090.9090909091,0
14,19727.2727272727,1
14,20363.6363636364,0
14,21000,1
14,21636.3636363636,0
14,22272.7272727273,0
14,22909.0909090909,1
14,23545.4545454545,1
14,24181.8181818182,0
14,24818.1818181818,1
14,25454.5454545455,0
14,26090.9090909091,0
14,26727.2727272727,0
14,27363.6363636364,0
14,28000,0
14,28636.3636363636,1
14,29272.7272727273,0
14,29909.0909090909,0
14,30545.4545454545,0
14,31181.8181818182,0
14,31818.1818181818,0
14,32454.5454545455,0
14,33090.9090909091,0
14,33727.2727272727,0
14,34363.6363636364,0
14,35000,0
14,35636.3636363636,0
14,36272.7272727273,0
14,36909.0909090909,0
14,37545.4545454545,0
14,38181.8181818182,0
14,38818.1818181818,0
14,39454.5454545455,0
14,40090.9090909091,0
14,40727.2727272727,0
14,41363.6363636364,0
14,42000,0
14,42636.3636363636,0
14,43272.7272727273,0
14,43909.0909090909,0
14,44545.4545454545,0
14,45181.8181818182,1
14,45818.1818181818,0
14,46454.5454545455,0
14,47090.9090909091,0
14,47727.2727272727,0
14,48363.6363636364,0
14,49000,0
14,49636.3636363636,0
14,50272.7272727273,0
14,50909.0909090909,0
14,51545.4545454545,0
14,52181.8181818182,0
14,52818.1818181818,0
14,53454.5454545455,0
14,54090.9090909091,0
14,54727.2727272727,0
14,55363.6363636364,0
14,56000,0
14,56636.3636363636,0
14,57272.7272727273,0
14,57909.0909090909,0
14,58545.4545454545,0
14,59181.8181818182,0
14,59818.1818181818,0
14,60454.5454545455,0
14,61090.9090909091,0
14,61727.2727272727,0
14,62363.6363636364,0
14,63000,0
15,0,43
15,636.363636363636,22
15,1272.72727272727,23
15,1909.09090909091,16
15,2545.45454545455,6
15,3181.81818181818,18
15,3818.18181818182,8
15,4454.54545454545,7
15,5090.90909090909,9
15,5727.27272727273,12
15,6363.63636363636,2
15,7000,5
15,7636.36363636364,1
15,8272.72727272727,5
15,8909.09090909091,1
15,9545.45454545455,3
15,10181.8181818182,7
15,10818.1818181818,0
15,11454.5454545455,0
15,12090.9090909091,1
15,12727.2727272727,3
15,13363.6363636364,1
15,14000,1
15,14636.3636363636,1
15,15272.7272727273,0
15,15909.0909090909,0
15,16545.4545454545,0
15,17181.8181818182,0
15,17818.1818181818,1
15,18454.5454545455,0
15,19090.9090909091,0
15,19727.2727272727,1
15,20363.6363636364,0
15,21000,0
15,21636.3636363636,0
15,22272.7272727273,0
15,22909.0909090909,0
15,23545.4545454545,0
15,24181.8181818182,0
15,24818.1818181818,0
15,25454.5454545455,0
15,26090.9090909091,0
15,26727.2727272727,0
15,27363.6363636364,0
15,28000,0
15,28636.3636363636,0
15,29272.7272727273,0
15,29909.0909090909,0
15,30545.4545454545,0
15,31181.8181818182,0
15,31818.1818181818,0
15,32454.5454545455,0
15,33090.9090909091,0
15,33727.2727272727,0
15,34363.6363636364,0
15,35000,0
15,35636.3636363636,0
15,36272.7272727273,0
15,36909.0909090909,0
15,37545.4545454545,0
15,38181.8181818182,0
15,38818.1818181818,0
15,39454.5454545455,0
15,40090.9090909091,0
15,40727.2727272727,0
15,41363.6363636364,0
15,42000,0
15,42636.3636363636,0
15,43272.7272727273,0
15,43909.0909090909,0
15,44545.4545454545,0
15,45181.8181818182,0
15,45818.1818181818,0
15,46454.5454545455,0
15,47090.9090909091,0
15,47727.2727272727,0
15,48363.6363636364,0
15,49000,0
15,49636.3636363636,0
15,50272.7272727273,0
15,50909.0909090909,0
15,51545.4545454545,0
15,52181.8181818182,0
15,52818.1818181818,0
15,53454.5454545455,0
15,54090.9090909091,0
15,54727.2727272727,0
15,55363.6363636364,0
15,56000,0
15,56636.3636363636,0
15,57272.7272727273,0
15,57909.0909090909,0
15,58545.4545454545,0
15,59181.8181818182,0
15,59818.1818181818,0
15,60454.5454545455,0
15,61090.9090909091,0
15,61727.2727272727,0
15,62363.6363636364,0
15,63000,0
16,0,67
16,636.363636363636,15
16,1272.72727272727,17
16,1909.09090909091,18
16,2545.45454545455,6
16,3181.81818181818,14
16,3818.18181818182,18
16,4454.54545454545,9
16,5090.90909090909,21
16,5727.27272727273,13
16,6363.63636363636,5
16,7000,9
16,7636.36363636364,2
16,8272.72727272727,6
16,8909.09090909091,5
16,9545.45454545455,2
16,10181.8181818182,5
16,10818.1818181818,5
16,11454.5454545455,0
16,12090.9090909091,1
16,12727.2727272727,1
16,13363.6363636364,1
16,14000,1
16,14636.3636363636,2
16,15272.7272727273,3
16,15909.0909090909,1
16,16545.4545454545,2
16,17181.8181818182,0
16,17818.1818181818,4
16,18454.5454545455,0
16,19090.9090909091,0
16,19727.2727272727,3
16,20363.6363636364,0
16,21000,0
16,21636.3636363636,0
16,22272.7272727273,0
16,22909.0909090909,0
16,23545.4545454545,0
16,24181.8181818182,0
16,24818.1818181818,0
16,25454.5454545455,0
16,26090.9090909091,0
16,26727.2727272727,1
16,27363.6363636364,0
16,28000,0
16,28636.3636363636,0
16,29272.7272727273,0
16,29909.0909090909,0
16,30545.4545454545,0
16,31181.8181818182,0
16,31818.1818181818,1
16,32454.5454545455,0
16,33090.9090909091,0
16,33727.2727272727,0
16,34363.6363636364,0
16,35000,1
16,35636.3636363636,0
16,36272.7272727273,0
16,36909.0909090909,0
16,37545.4545454545,0
16,38181.8181818182,0
16,38818.1818181818,0
16,39454.5454545455,0
16,40090.9090909091,0
16,40727.2727272727,0
16,41363.6363636364,0
16,42000,0
16,42636.3636363636,0
16,43272.7272727273,0
16,43909.0909090909,0
16,44545.4545454545,0
16,45181.8181818182,1
16,45818.1818181818,0
16,46454.5454545455,0
16,47090.9090909091,0
16,47727.2727272727,0
16,48363.6363636364,0
16,49000,0
16,49636.3636363636,0
16,50272.7272727273,0
16,50909.0909090909,0
16,51545.4545454545,0
16,52181.8181818182,0
16,52818.1818181818,0
16,53454.5454545455,0
16,54090.9090909091,0
16,54727.2727272727,0
16,55363.6363636364,0
16,56000,0
16,56636.3636363636,0
16,57272.7272727273,0
16,57909.0909090909,0
16,58545.4545454545,0
16,59181.8181818182,0
16,59818.1818181818,0
16,60454.5454545455,0
16,61090.9090909091,0
16,61727.2727272727,0
16,62363.6363636364,0
16,63000,0
17,0,28
17,636.363636363636,8
17,1272.72727272727,4
17,1909.09090909091,9
17,2545.45454545455,8
17,3181.81818181818,11
17,3818.18181818182,4
17,4454.54545454545,2
17,5090.90909090909,8
17,5727.27272727273,5
17,6363.63636363636,0
17,7000,1
17,7636.36363636364,0
17,8272.72727272727,4
17,8909.09090909091,0
17,9545.45454545455,3
17,10181.8181818182,4
17,10818.1818181818,1
17,11454.5454545455,1
17,12090.9090909091,2
17,12727.2727272727,1
17,13363.6363636364,0
17,14000,3
17,14636.3636363636,0
17,15272.7272727273,0
17,15909.0909090909,0
17,16545.4545454545,0
17,17181.8181818182,0
17,17818.1818181818,1
17,18454.5454545455,0
17,19090.9090909091,0
17,19727.2727272727,1
17,20363.6363636364,0
17,21000,0
17,21636.3636363636,0
17,22272.7272727273,0
17,22909.0909090909,0
17,23545.4545454545,0
17,24181.8181818182,0
17,24818.1818181818,0
17,25454.5454545455,0
17,26090.9090909091,0
17,26727.2727272727,0
17,27363.6363636364,0
17,28000,1
17,28636.3636363636,0
17,29272.7272727273,0
17,29909.0909090909,1
17,30545.4545454545,0
17,31181.8181818182,0
17,31818.1818181818,0
17,32454.5454545455,0
17,33090.9090909091,0
17,33727.2727272727,0
17,34363.6363636364,0
17,35000,0
17,35636.3636363636,0
17,36272.7272727273,0
17,36909.0909090909,0
17,37545.4545454545,0
17,38181.8181818182,0
17,38818.1818181818,0
17,39454.5454545455,0
17,40090.9090909091,0
17,40727.2727272727,0
17,41363.6363636364,0
17,42000,0
17,42636.3636363636,0
17,43272.7272727273,0
17,43909.0909090909,0
17,44545.4545454545,0
17,45181.8181818182,0
17,45818.1818181818,0
17,46454.5454545455,0
17,47090.9090909091,0
17,47727.2727272727,0
17,48363.6363636364,0
17,49000,0
17,49636.3636363636,0
17,50272.7272727273,0
17,50909.0909090909,0
17,51545.4545454545,0
17,52181.8181818182,0
17,52818.1818181818,0
17,53454.5454545455,0
17,54090.9090909091,0
17,54727.2727272727,0
17,55363.6363636364,0
17,56000,0
17,56636.3636363636,0
17,57272.7272727273,0
17,57909.0909090909,0
17,58545.4545454545,0
17,59181.8181818182,0
17,59818.1818181818,0
17,60454.5454545455,0
17,61090.9090909091,0
17,61727.2727272727,0
17,62363.6363636364,0
17,63000,0
18,0,3
18,636.363636363636,1
18,1272.72727272727,1
18,1909.09090909091,0
18,2545.45454545455,0
18,3181.81818181818,2
18,3818.18181818182,0
18,4454.54545454545,0
18,5090.90909090909,1
18,5727.27272727273,1
18,6363.63636363636,0
18,7000,0
18,7636.36363636364,0
18,8272.72727272727,1
18,8909.09090909091,0
18,9545.45454545455,0
18,10181.8181818182,0
18,10818.1818181818,0
18,11454.5454545455,0
18,12090.9090909091,0
18,12727.2727272727,0
18,13363.6363636364,0
18,14000,0
18,14636.3636363636,0
18,15272.7272727273,0
18,15909.0909090909,0
18,16545.4545454545,0
18,17181.8181818182,0
18,17818.1818181818,0
18,18454.5454545455,0
18,19090.9090909091,0
18,19727.2727272727,0
18,20363.6363636364,0
18,21000,0
18,21636.3636363636,0
18,22272.7272727273,0
18,22909.0909090909,0
18,23545.4545454545,0
18,24181.8181818182,0
18,24818.1818181818,0
18,25454.5454545455,0
18,26090.9090909091,0
18,26727.2727272727,0
18,27363.6363636364,0
18,28000,0
18,28636.3636363636,0
18,29272.7272727273,0
18,29909.0909090909,0
18,30545.4545454545,0
18,31181.8181818182,0
18,31818.1818181818,0
18,32454.5454545455,0
18,33090.9090909091,0
18,33727.2727272727,0
18,34363.6363636364,0
18,35000,0
18,35636.3636363636,0
18,36272.7272727273,0
18,36909.0909090909,0
18,37545.4545454545,0
18,38181.8181818182,0
18,38818.1818181818,0
18,39454.5454545455,0
18,40090.9090909091,0
18,40727.2727272727,0
18,41363.6363636364,0
18,42000,0
18,42636.3636363636,0
18,43272.7272727273,0
18,43909.0909090909,0
18,44545.4545454545,0
18,45181.8181818182,0
18,45818.1818181818,0
18,46454.5454545455,0
18,47090.9090909091,0
18,47727.2727272727,0
18,48363.6363636364,0
18,49000,0
18,49636.3636363636,0
18,50272.7272727273,0
18,50909.0909090909,0
18,51545.4545454545,0
18,52181.8181818182,0
18,52818.1818181818,0
18,53454.5454545455,0
18,54090.9090909091,0
18,54727.2727272727,0
18,55363.6363636364,0
18,56000,0
18,56636.3636363636,0
18,57272.7272727273,0
18,57909.0909090909,0
18,58545.4545454545,0
18,59181.8181818182,0
18,59818.1818181818,0
18,60454.5454545455,0
18,61090.9090909091,0
18,61727.2727272727,0
18,62363.6363636364,0
18,63000,0
