"","0.25","0.3","0.4","0.5","0.8","1"
"0.25",530.63,525.116,500.874,495.241,467.467,453.176
"0.25 se",46.581,48.02,42.561,45.623,41.415,40.981
"0.3",898.609,917.718,908.589,896.64,862.059,843.124
"0.3 se",65.824,63.277,62.561,62.399,57.638,57.573
"0.4",1944.643,2020.792,2038.321,2035.307,1992.898,1964.299
"0.4 se",108.718,105.008,98.18,99.732,96.564,94.501
"0.5",3331.114,3485.067,3522.112,3524.651,3493.405,3460.166
"0.5 se",147.675,141.436,131.105,127.658,131.633,123.551
"0.8",9146.288,9451.34,9552.165,9588.269,9661.526,9609.297
"0.8 se",215.68,209.083,185.883,185.388,188.039,179.013
"1",15772.875,16093.478,16231.517,16266.247,16403.576,16672.69
"1 se",266.152,261.09,230.2,230.663,230.583,227.161
